名称,化学式,分子量,类型,描述
硫酸氢钾,KHSO4,136.16,无机化合物,酸性盐，催化剂
硫酸氢铵,NH4HSO4,115.10,无机化合物,化肥，电池电解液
硫酸铝,Al2(SO4)3,342.15,无机化合物,净水剂，造纸施胶
硫酸铁,Fe2(SO4)3,399.86,无机化合物,净水剂，媒染剂
硫酸亚铁铵,(NH4)2Fe(SO4)2,392.14,无机化合物,莫尔盐，分析试剂
硫酸铬,Cr2(SO4)3,392.18,无机化合物,鞣革，媒染剂
硫酸锰,MnSO4,151.00,无机化合物,化肥，饲料添加剂
硫酸镍,NiSO4,154.75,无机化合物,电镀，电池
硫酸钴,CoSO4,154.99,无机化合物,颜料，电池
硫酸镉,CdSO4,208.47,无机化合物,颜料，电池
硫酸铅,PbSO4,303.26,无机化合物,铅酸电池
硫酸锶,SrSO4,183.68,无机化合物,焰火红色，颜料
硫酸锂,Li2SO4,109.94,无机化合物,电池材料
硫酸铯,Cs2SO4,361.87,无机化合物,分析试剂
硫酸铷,Rb2SO4,266.99,无机化合物,分析试剂
硫酸钛,Ti(SO4)2,239.99,无机化合物,媒染剂
硫酸锆,Zr(SO4)2,283.35,无机化合物,鞣革，催化剂
氯化锂,LiCl,42.39,无机化合物,干燥剂，电池
氯化铯,CsCl,168.36,无机化合物,密度梯度离心
氯化铷,RbCl,120.92,无机化合物,分析试剂
氯化锶,SrCl2,158.53,无机化合物,焰火红色，牙膏
氯化钡,BaCl2,208.23,无机化合物,分析试剂，毒鼠
氯化镉,CdCl2,183.32,无机化合物,电镀，颜料
氯化锡,SnCl2,189.62,无机化合物,还原剂，媒染剂
氯化亚锡,SnCl2,189.62,无机化合物,还原剂，电镀
氯化铅,PbCl2,278.10,无机化合物,颜料，分析试剂
氯化汞,HgCl2,271.50,无机化合物,剧毒，催化剂
氯化银,AgCl,143.32,无机化合物,感光材料，电极
氯化金,AuCl3,303.33,无机化合物,镀金，催化剂
氯化铂,PtCl4,336.89,无机化合物,催化剂，电镀
氯化钯,PdCl2,177.33,无机化合物,催化剂
氯化铑,RhCl3,209.26,无机化合物,催化剂
氯化铱,IrCl3,298.58,无机化合物,催化剂
氯化钌,RuCl3,207.43,无机化合物,催化剂
氯化钛,TiCl4,189.68,无机化合物,钛白粉中间体
氯化锆,ZrCl4,233.04,无机化合物,催化剂，耐火材料
氯化钒,VCl3,157.30,无机化合物,催化剂
氯化铬,CrCl3,158.35,无机化合物,媒染剂，催化剂
氯化锰,MnCl2,125.84,无机化合物,催化剂，电池
氯化钴,CoCl2,129.84,无机化合物,干燥剂指示剂，颜料
氯化镍,NiCl2,129.60,无机化合物,电镀，催化剂
氯化锌,ZnCl2,136.29,无机化合物,焊剂，电池
氟化钠,NaF,41.99,无机化合物,牙膏防龋，杀虫剂
氟化钾,KF,58.10,无机化合物,氟化剂，蚀刻
氟化铵,NH4F,37.04,无机化合物,蚀刻剂，防腐
氟化钙,CaF2,78.07,无机化合物,萤石，冶金助熔剂
氟化镁,MgF2,62.30,无机化合物,光学材料
氟化钡,BaF2,175.32,无机化合物,光学材料，陶瓷
氟化锂,LiF,25.94,无机化合物,光学材料，电池
氟化铝,AlF3,83.98,无机化合物,电解铝助熔剂
氟化铁,FeF3,112.84,无机化合物,催化剂
氟化铜,CuF2,101.54,无机化合物,催化剂
碘化钾,KI,166.00,无机化合物,补碘剂，分析试剂
碘化钠,NaI,149.89,无机化合物,闪烁体，医药
碘化铵,NH4I,144.94,无机化合物,分析试剂
碘化银,AgI,234.77,无机化合物,感光材料，人工降雨
碘化铅,PbI2,461.01,无机化合物,颜料，光电材料
溴化钠,NaBr,102.89,无机化合物,镇静剂，照相
溴化钾,KBr,119.00,无机化合物,红外光学材料，镇静剂
溴化铵,NH4Br,97.94,无机化合物,照相，医药
溴化银,AgBr,187.77,无机化合物,感光材料
溴化钙,CaBr2,199.89,无机化合物,钻井液，医药
溴化锂,LiBr,86.85,无机化合物,吸收式制冷
溴化锌,ZnBr2,225.19,无机化合物,电池，催化剂
溴化铜,CuBr2,223.35,无机化合物,催化剂，颜料
溴化亚铜,CuBr,143.45,无机化合物,催化剂
溴化亚铁,FeBr2,215.65,无机化合物,催化剂
溴化铁,FeBr3,295.56,无机化合物,催化剂
氧化锂,Li2O,29.88,无机化合物,电池材料，陶瓷
氧化铍,BeO,25.01,无机化合物,陶瓷，核反应堆
氧化硼,B2O3,69.62,无机化合物,硼硅玻璃，阻燃剂
氧化钠,Na2O,61.98,无机化合物,玻璃，陶瓷
氧化钾,K2O,94.20,无机化合物,化肥，玻璃
氧化钙,CaO,56.08,无机化合物,生石灰，干燥剂
氧化锶,SrO,103.62,无机化合物,焰火红色，颜料
氧化钡,BaO,153.33,无机化合物,干燥剂，玻璃
氧化镉,CdO,128.41,无机化合物,颜料，电池
氧化锡,SnO2,150.71,无机化合物,抛光剂，气敏材料
氧化铅,PbO,223.20,无机化合物,铅玻璃，颜料
氧化汞,HgO,216.59,无机化合物,颜料，催化剂
氧化银,Ag2O,231.74,无机化合物,氧化剂，电池
氧化镍,NiO,74.69,无机化合物,电池，催化剂
氧化钴,CoO,74.93,无机化合物,颜料，电池
氧化锰,MnO,70.94,无机化合物,电池，陶瓷
氧化铬,Cr2O3,151.99,无机化合物,绿色颜料，抛光
氧化钼,MoO3,143.94,无机化合物,催化剂，颜料
氧化钨,WO3,231.84,无机化合物,电致变色，催化剂
氧化钒,V2O5,181.88,无机化合物,催化剂，电池
氧化锆,ZrO2,123.22,无机化合物,陶瓷，耐火材料
氧化钇,Y2O3,225.81,无机化合物,荧光粉，陶瓷
氧化镧,La2O3,325.81,无机化合物,光学玻璃，催化剂
氧化铈,CeO2,172.11,无机化合物,抛光剂，催化剂
氧化钕,Nd2O3,336.48,无机化合物,激光晶体，陶瓷
氧化钐,Sm2O3,348.72,无机化合物,磁体，催化剂
氧化铕,Eu2O3,351.93,无机化合物,荧光粉，防伪
氧化钆,Gd2O3,362.50,无机化合物,磁共振造影剂
氧化铽,Tb4O7,747.72,无机化合物,荧光粉，磁光材料
氧化镝,Dy2O3,372.99,无机化合物,磁体，激光
氧化钬,Ho2O3,377.86,无机化合物,激光晶体，玻璃着色
氧化铒,Er2O3,382.56,无机化合物,光纤放大器，玻璃着色
氧化铥,Tm2O3,385.87,无机化合物,激光晶体，荧光粉
氧化镱,Yb2O3,394.11,无机化合物,激光晶体，催化剂
氧化镥,Lu2O3,397.93,无机化合物,激光晶体，催化剂
硫化钠,Na2S,78.05,无机化合物,制革，造纸
硫化钾,K2S,110.26,无机化合物,分析试剂
硫化钙,CaS,72.14,无机化合物,发光材料，脱毛剂
硫化钡,BaS,169.39,无机化合物,发光材料，杀鼠剂
硫化锌,ZnS,97.44,无机化合物,荧光粉，颜料
硫化镉,CdS,144.46,无机化合物,颜料，光电材料
硫化铅,PbS,239.26,无机化合物,红外探测器，半导体
硫化铜,CuS,95.61,无机化合物,催化剂，颜料
硫化亚铜,Cu2S,159.16,无机化合物,半导体，催化剂
硫化银,Ag2S,247.80,无机化合物,感光材料，电极
硫化汞,HgS,232.66,无机化合物,朱砂，颜料
硫化锑,Sb2S3,339.70,无机化合物,颜料，焰火
硫化砷,As2S3,246.04,无机化合物,颜料，半导体
硫化锡,SnS2,182.84,无机化合物,颜料，半导体
硫化钨,WS2,247.98,无机化合物,润滑剂，催化剂
硫化钼,MoS2,160.07,无机化合物,润滑剂，催化剂
硫化亚铁,FeS,87.91,无机化合物,制硫化氢，陶瓷
二硫化铁,FeS2,119.98,无机化合物,黄铁矿，制硫酸
氰化钠,NaCN,49.01,无机化合物,剧毒，冶金提金
氰化钾,KCN,65.12,无机化合物,剧毒，电镀
氰化钙,Ca(CN)2,92.11,无机化合物,熏蒸剂，冶金
氰化亚铜,CuCN,89.56,无机化合物,电镀，催化剂
氰化银,AgCN,133.89,无机化合物,电镀，医药
氰化金钾,KAu(CN)2,288.10,无机化合物,镀金
氰化亚金钾,KAu(CN)2,288.10,无机化合物,镀金电解质
铁氰化钾,K3[Fe(CN)6],329.25,无机化合物,检验亚铁离子
亚铁氰化钾,K4[Fe(CN)6],368.35,无机化合物,抗结剂，颜料
硫氰酸钠,NaSCN,81.07,无机化合物,纺织，分析试剂
硫氰酸钾,KSCN,97.18,无机化合物,检验铁离子
硫氰酸铵,NH4SCN,76.12,无机化合物,分析试剂，除草剂
硫氰酸汞,Hg(SCN)2,316.75,无机化合物,分析试剂
高氯酸钾,KClO4,138.55,无机化合物,氧化剂，焰火
高氯酸钠,NaClO4,122.44,无机化合物,氧化剂，火箭燃料
高氯酸铵,NH4ClO4,117.49,无机化合物,固体火箭推进剂
高氯酸锂,LiClO4,106.39,无机化合物,电池电解质，氧化剂
氯酸钾,KClO3,122.55,无机化合物,氧化剂，焰火
氯酸钠,NaClO3,106.44,无机化合物,除草剂，氧化剂
氯酸铵,NH4ClO3,101.49,无机化合物,氧化剂，焰火
次氯酸钙,Ca(ClO)2,142.98,无机化合物,漂白粉，消毒
次氯酸钾,KClO,90.55,无机化合物,消毒剂，漂白
次氯酸锂,LiClO,58.39,无机化合物,消毒剂
亚氯酸钠,NaClO2,90.44,无机化合物,漂白剂，消毒
亚氯酸钾,KClO2,106.55,无机化合物,漂白剂
溴酸钾,KBrO3,167.00,无机化合物,氧化剂，面团改良
溴酸钠,NaBrO3,150.89,无机化合物,氧化剂，烫发
碘酸钾,KIO3,214.00,无机化合物,补碘剂，氧化剂
碘酸钠,NaIO3,197.89,无机化合物,氧化剂，医药
高碘酸钾,KIO4,230.00,无机化合物,氧化剂，分析试剂
高碘酸钠,NaIO4,213.89,无机化合物,氧化剂，分析试剂
高锰酸钠,NaMnO4,141.92,无机化合物,氧化剂，消毒
锰酸钾,K2MnO4,197.13,无机化合物,氧化剂，中间体
高铁酸钾,K2FeO4,198.04,无机化合物,消毒剂，氧化剂
高铁酸钠,Na2FeO4,165.82,无机化合物,水处理，氧化剂
铬酸钠,Na2CrO4,161.97,无机化合物,颜料，鞣革
铬酸钾,K2CrO4,194.19,无机化合物,黄色颜料，分析
铬酸铵,(NH4)2CrO4,152.07,无机化合物,颜料，催化剂
铬酸钡,BaCrO4,253.32,无机化合物,黄色颜料
铬酸锶,SrCrO4,203.61,无机化合物,防锈颜料
重铬酸钠,Na2Cr2O7,261.97,无机化合物,氧化剂，鞣革
重铬酸钾,K2Cr2O7,294.18,无机化合物,氧化剂，实验室
重铬酸铵,(NH4)2Cr2O7,252.06,无机化合物,氧化剂，焰火
钼酸钠,Na2MoO4,205.92,无机化合物,缓蚀剂，催化剂
钼酸铵,(NH4)6Mo7O24,1163.80,无机化合物,分析试剂，催化剂
钨酸钠,Na2WO4,293.82,无机化合物,催化剂，防火
钨酸铵,(NH4)10W12O41,3043.71,无机化合物,催化剂，颜料
钒酸钠,Na3VO4,183.91,无机化合物,催化剂
钒酸铵,NH4VO3,116.98,无机化合物,催化剂，分析试剂
钛酸钠,Na2TiO3,141.85,无机化合物,陶瓷，催化剂
锆酸钠,Na2ZrO3,185.20,无机化合物,陶瓷，耐火材料
铝酸钠,NaAlO2,81.97,无机化合物,水处理，催化剂
硅酸钠,Na2SiO3,122.06,无机化合物,水玻璃，粘合剂
硅酸钾,K2SiO3,154.28,无机化合物,粘合剂，涂料
硅酸钙,CaSiO3,116.16,无机化合物,水泥，陶瓷
硅酸镁,MgSiO3,100.39,无机化合物,滑石，陶瓷
硅酸铝,Al2SiO5,162.05,无机化合物,耐火材料，陶瓷
硅酸锆,ZrSiO4,183.31,无机化合物,陶瓷，耐火材料
硅酸锂,Li2SiO3,89.97,无机化合物,电池，玻璃
硅酸钡,BaSiO3,213.41,无机化合物,陶瓷，玻璃
硅酸锶,SrSiO3,163.70,无机化合物,陶瓷，荧光粉
硼酸,H3BO3,61.83,无机化合物,防腐剂，医药
硼砂,Na2B4O7·10H2O,381.37,无机化合物,洗涤剂，玻璃
偏硼酸钠,NaBO2,65.80,无机化合物,漂白剂，防腐
偏硼酸钾,KBO2,81.91,无机化合物,陶瓷，玻璃
偏硼酸锂,LiBO2,49.75,无机化合物,玻璃，陶瓷
四硼酸钠,Na2B4O7,201.22,无机化合物,硼砂无水，玻璃
四硼酸钾,K2B4O7,233.44,无机化合物,玻璃，陶瓷
氟硼酸钠,NaBF4,109.79,无机化合物,电镀，催化剂
氟硼酸钾,KBF4,125.90,无机化合物,焊剂，催化剂
氟硼酸铵,NH4BF4,104.84,无机化合物,电镀，阻燃
六氟磷酸锂,LiPF6,151.90,无机化合物,锂电池电解质
六氟磷酸钾,KPF6,184.06,无机化合物,电池电解质
六氟砷酸钠,NaAsF6,207.90,无机化合物,电池电解质
四氟硼酸锂,LiBF4,93.75,无机化合物,电池电解质
双三氟甲磺酰亚胺锂,C2F6LiNO4S2,287.09,有机化合物,锂电池电解质
氢氧化锂,LiOH,23.95,无机化合物,电池，二氧化碳吸收
氢氧化铷,RbOH,102.48,无机化合物,碱性电池，催化剂
氢氧化铯,CsOH,149.91,无机化合物,碱性电池，催化剂
氢氧化锶,Sr(OH)2,121.63,无机化合物,制糖，焰火
氢氧化钡,Ba(OH)2,171.34,无机化合物,分析试剂，润滑
氢氧化镉,Cd(OH)2,146.43,无机化合物,电池，颜料
氢氧化镍,Ni(OH)2,92.71,无机化合物,电池，催化剂
氢氧化钴,Co(OH)2,92.95,无机化合物,电池，颜料
氢氧化锰,Mn(OH)2,88.95,无机化合物,电池，陶瓷
氢氧化铬,Cr(OH)3,103.02,无机化合物,颜料，鞣革
氢氧化铅,Pb(OH)2,241.21,无机化合物,颜料，电池
氢氧化锡,Sn(OH)2,152.72,无机化合物,陶瓷，催化剂
氢氧化锆,Zr(OH)4,159.25,无机化合物,陶瓷，催化剂
氢氧化钛,Ti(OH)4,115.90,无机化合物,陶瓷，催化剂
氢氧化钒,V(OH)3,102.97,无机化合物,催化剂
氢氧化钼,Mo(OH)3,146.96,无机化合物,催化剂
氢氧化钨,W(OH)3,234.86,无机化合物,催化剂
氢氧化钕,Nd(OH)3,195.27,无机化合物,玻璃，陶瓷
氢氧化钐,Sm(OH)3,201.38,无机化合物,陶瓷，催化剂
氢氧化铕,Eu(OH)3,202.99,无机化合物,荧光粉
氢氧化钆,Gd(OH)3,208.27,无机化合物,磁共振造影剂
氢氧化镝,Dy(OH)3,213.54,无机化合物,磁体，陶瓷
氢氧化铒,Er(OH)3,218.28,无机化合物,光纤，陶瓷
氢氧化镱,Yb(OH)3,224.07,无机化合物,催化剂，陶瓷
氢氧化镥,Lu(OH)3,225.99,无机化合物,催化剂，陶瓷
氢氧化钇,Y(OH)3,139.93,无机化合物,陶瓷，荧光粉
氢氧化镧,La(OH)3,189.93,无机化合物,陶瓷，催化剂
氢氧化铈,Ce(OH)4,208.15,无机化合物,抛光剂，催化剂
氢氧化钍,Th(OH)4,300.07,无机化合物,核燃料，陶瓷
氢氧化铀,UO2(OH)2,304.04,无机化合物,核燃料
氢氧化镎,NpO2(OH),299.00,无机化合物,核化学
氢氧化钚,PuO2(OH),275.00,无机化合物,核化学
氨水,NH3·H2O,35.05,无机化合物,碱性溶液，化肥
联氨,N2H4,32.05,无机化合物,火箭燃料，还原剂
羟胺,NH2OH,33.03,无机化合物,还原剂，医药
磷化氢,PH3,34.00,无机化合物,剧毒，电子工业
砷化氢,AsH3,77.95,无机化合物,剧毒，半导体
锑化氢,SbH3,124.78,无机化合物,剧毒，半导体
硒化氢,H2Se,80.98,无机化合物,剧毒，半导体
碲化氢,H2Te,129.62,无机化合物,剧毒，半导体
甲硅烷,SiH4,32.12,无机化合物,硅烷，半导体
乙硅烷,Si2H6,62.22,无机化合物,硅烷，半导体
乙硼烷,B2H6,27.67,无机化合物,还原剂，半导体
戊硼烷,B5H9,63.13,无机化合物,火箭燃料，硼化学
癸硼烷,B10H14,122.22,无机化合物,硼化学，还原剂
四氟化硅,SiF4,104.08,无机化合物,半导体，光纤
四氯化硅,SiCl4,169.90,无机化合物,光纤，硅烷
四溴化硅,SiBr4,347.70,无机化合物,硅化学
四碘化硅,SiI4,535.70,无机化合物,硅化学
三氯硅烷,SiHCl3,135.45,无机化合物,半导体多晶硅
二氯硅烷,SiH2Cl2,101.01,无机化合物,半导体
三溴化硼,BBr3,250.52,无机化合物,掺杂剂，催化剂
三氯化硼,BCl3,117.17,无机化合物,催化剂，半导体
三氟化硼,BF3,67.81,无机化合物,路易斯酸，催化剂
三碘化硼,BI3,391.52,无机化合物,硼化学
四氟化锗,GeF4,148.63,无机化合物,半导体
四氯化锗,GeCl4,214.45,无机化合物,光纤，半导体
四氢化锗,GeH4,76.64,无机化合物,半导体
四氟化钛,TiF4,123.86,无机化合物,催化剂
四溴化钛,TiBr4,367.54,无机化合物,催化剂
四碘化钛,TiI4,555.54,无机化合物,催化剂
四氟化锆,ZrF4,167.22,无机化合物,光学玻璃
四溴化锆,ZrBr4,410.86,无机化合物,陶瓷
四碘化锆,ZrI4,598.86,无机化合物,陶瓷
四氟化铪,HfF4,254.48,无机化合物,光学材料
四氯化铪,HfCl4,320.30,无机化合物,催化剂
五氟化锑,SbF5,216.75,无机化合物,氟化剂，催化剂
五氯化锑,SbCl5,299.02,无机化合物,氯化剂，催化剂
五氟化磷,PF5,125.97,无机化合物,催化剂，氟化剂
五氯化磷,PCl5,208.22,无机化合物,氯化剂，催化剂
三氟化磷,PF3,87.97,无机化合物,配体，催化剂
三氯化磷,PCl3,137.32,无机化合物,氯化剂，农药中间体
三溴化磷,PBr3,270.69,无机化合物,溴化剂，催化剂
三碘化磷,PI3,411.69,无机化合物,碘化剂
二硫化碳,CS2,76.13,无机化合物,溶剂，粘胶纤维
氧硫化碳,COS,60.07,无机化合物,农药中间体
硫酰氯,SO2Cl2,134.96,无机化合物,氯化剂，染料
亚硫酰氯,SOCl2,118.96,无机化合物,氯化剂，医药
氯磺酸,HSO3Cl,116.52,无机化合物,磺化剂，染料
氟磺酸,HSO3F,100.07,无机化合物,超强酸，氟化剂
氨基磺酸,H3NO3S,97.09,无机化合物,固体酸，清洗剂
氨基磺酸铵,NH4SO3NH2,114.12,无机化合物,阻燃剂，除草剂
氨基磺酸镍,Ni(SO3NH2)2,250.86,无机化合物,电镀
氨基磺酸钴,Co(SO3NH2)2,251.10,无机化合物,电镀
氨基磺酸铁,Fe(SO3NH2)3,344.06,无机化合物,电镀
氨基磺酸钙,Ca(SO3NH2)2,236.25,无机化合物,电镀
氨基磺酸镁,Mg(SO3NH2)2,212.47,无机化合物,电镀
氨基磺酸锌,Zn(SO3NH2)2,257.54,无机化合物,电镀
氨基磺酸铜,Cu(SO3NH2)2,255.74,无机化合物,电镀
氨基磺酸铅,Pb(SO3NH2)2,375.37,无机化合物,电镀
氨基磺酸锡,Sn(SO3NH2)2,309.87,无机化合物,电镀
氨基磺酸镉,Cd(SO3NH2)2,304.58,无机化合物,电镀
氨基磺酸银,AgSO3NH2,186.95,无机化合物,电镀
氨基磺酸金,AuSO3NH2,295.04,无机化合物,镀金
氨基磺酸铂,Pt(SO3NH2)2,387.27,无机化合物,电镀
氨基磺酸钯,Pd(SO3NH2)2,244.52,无机化合物,电镀
氨基磺酸铑,Rh(SO3NH2)3,377.00,无机化合物,电镀
氨基磺酸铱,Ir(SO3NH2)3,466.32,无机化合物,电镀
氨基磺酸钌,Ru(SO3NH2)3,373.26,无机化合物,电镀
氨基磺酸钛,Ti(SO3NH2)4,436.19,无机化合物,电镀
氨基磺酸锆,Zr(SO3NH2)4,479.51,无机化合物,电镀
氨基磺酸铪,Hf(SO3NH2)4,566.72,无机化合物,电镀
氨基磺酸钒,V(SO3NH2)3,348.18,无机化合物,电镀
氨基磺酸铬,Cr(SO3NH2)3,358.25,无机化合物,电镀
氨基磺酸锰,Mn(SO3NH2)2,247.10,无机化合物,电镀
氨基磺酸钼,Mo(SO3NH2)3,416.24,无机化合物,电镀
氨基磺酸钨,W(SO3NH2)3,504.14,无机化合物,电镀
氨基磺酸稀土,RE(SO3NH2)3,0.00,无机化合物,电镀
